filepath,relative_path,split,class,filename,size_bytes,hash,width,height,mode,status,error,selected_for_calibration
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge145.png,datasets/calibration/dataset/train/bridge/bridge145.png,train,bridge,bridge145.png,43594,9977dc2e784fd2c17605fad4db0e57000bba8e604b3e0a51e7c3aa698257c252,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge146.png,datasets/calibration/dataset/train/bridge/bridge146.png,train,bridge,bridge146.png,50941,59297163096f552cd2f2e13312a1bf0ce5b5520255d17e8bbdcd09b41cd9c962,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge148.png,datasets/calibration/dataset/train/bridge/bridge148.png,train,bridge,bridge148.png,59711,9343c3813e613d14d77ecd66927390dca04802a2de21627120a0b29110569928,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge15.png,datasets/calibration/dataset/train/bridge/bridge15.png,train,bridge,bridge15.png,51966,4f91fba853afeabba0c27a9bbf051055e202ca66983fedcfd8cff35b88a3a7f0,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge150.png,datasets/calibration/dataset/train/bridge/bridge150.png,train,bridge,bridge150.png,45684,5e142999b5ecb27af022da9d46b45d6c7198e4c6d5f2de10e672eeb01ababbdf,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge153.PNG,datasets/calibration/dataset/train/bridge/bridge153.PNG,train,bridge,bridge153.PNG,134133,f5f5bb065a4bd0023e78e26885d8aa1d039630612850e1f9243d74b738d9267c,330,323,RGBA,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge154.PNG,datasets/calibration/dataset/train/bridge/bridge154.PNG,train,bridge,bridge154.PNG,119205,d22ae77e9d56d218cdc9c86374d518a0e5b916acd9868a1d890531bf749492f1,332,299,RGBA,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge157.PNG,datasets/calibration/dataset/train/bridge/bridge157.PNG,train,bridge,bridge157.PNG,132966,4d4507c47328104e3fdbee4cea782e238ee295a70090459e948b258c8c983d51,336,330,RGBA,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge158.PNG,datasets/calibration/dataset/train/bridge/bridge158.PNG,train,bridge,bridge158.PNG,136279,1928c1c1c4f3287b9f6b99fba31158269645ac8d187d3862db90f18bf767410b,323,331,RGBA,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge159.PNG,datasets/calibration/dataset/train/bridge/bridge159.PNG,train,bridge,bridge159.PNG,31429,714f861811d55316c6f74a5bda902d072366b9fc712686a55f00fb9c23e420f4,176,179,RGBA,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge160.PNG,datasets/calibration/dataset/train/bridge/bridge160.PNG,train,bridge,bridge160.PNG,37427,062a8a0d4849ead838c9e6d746a52dbbda751e6c4ff47288d06e945414d5a429,191,182,RGBA,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge161.PNG,datasets/calibration/dataset/train/bridge/bridge161.PNG,train,bridge,bridge161.PNG,34899,e5607fe4c222fcfb5d75bd0aa467cecdd84325101a197f3484dc8ad2a778bffe,182,179,RGBA,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge17.png,datasets/calibration/dataset/train/bridge/bridge17.png,train,bridge,bridge17.png,49330,88d75a162f106c1c4efd4979446f971556ec0be5e7eb0f8a00bfbbc5c079c7e8,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge18.png,datasets/calibration/dataset/train/bridge/bridge18.png,train,bridge,bridge18.png,39503,aaa5c6e1cffa3563c01821f98d654f115d89f10d179d0eb6ec2c166f991c44d4,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge19.png,datasets/calibration/dataset/train/bridge/bridge19.png,train,bridge,bridge19.png,46808,f3e9e1e1b869d76d18cd560b4c24d6c5b23326213afdac1509f7c5a260b843d0,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge2.JPG,datasets/calibration/dataset/train/bridge/bridge2.JPG,train,bridge,bridge2.JPG,7938,2565781c94cfe42ee5842b030dde68dea33a242f2a2ac513c52322f29c2736d5,226,191,RGB,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge20.png,datasets/calibration/dataset/train/bridge/bridge20.png,train,bridge,bridge20.png,59867,e2a1c78b62937d3884a0bbd0a143378bc9881f47e7f1ab324404c728557db4c2,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge22.png,datasets/calibration/dataset/train/bridge/bridge22.png,train,bridge,bridge22.png,53214,d8f0383f61327b00db1ff6bade1a44ff204d0493a7fafa2f0f6978021a62b822,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge23.png,datasets/calibration/dataset/train/bridge/bridge23.png,train,bridge,bridge23.png,52906,d224fd290de635e4bcfb371e70f3ab4231880c4135407461b37534645cba8a76,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge24.png,datasets/calibration/dataset/train/bridge/bridge24.png,train,bridge,bridge24.png,40717,57a42f787afdb1c82680878e77488274062613b0a5e96e839ffee402ec6a445a,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge25.png,datasets/calibration/dataset/train/bridge/bridge25.png,train,bridge,bridge25.png,32167,4292d0d29a7f537c9d1c2e2a8d64b6903e016900b5e4a27d42de41434b40b5f9,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge26.png,datasets/calibration/dataset/train/bridge/bridge26.png,train,bridge,bridge26.png,43290,697b3c54986f78c812c14d691151eda560fa865a1c3e9de074824503a13f7f51,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge28.png,datasets/calibration/dataset/train/bridge/bridge28.png,train,bridge,bridge28.png,51125,f1519eef2a11c8a89a0ea4527c0eae07754cc6589b6825597a2bcb56136b10d6,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge3.JPG,datasets/calibration/dataset/train/bridge/bridge3.JPG,train,bridge,bridge3.JPG,50699,d34c3cd7f691bedb93e1c30d4628ce4f936a44720e5bc1c15d7de2851b4834dc,455,446,RGB,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge30.png,datasets/calibration/dataset/train/bridge/bridge30.png,train,bridge,bridge30.png,47254,5ce702af1d427ad401a76610fe331b0d4294d641f1851628576acbc7494dfe3c,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge31.png,datasets/calibration/dataset/train/bridge/bridge31.png,train,bridge,bridge31.png,52878,3c81bea0380e26d414e4fcf43e73d2b1a225c99c1621a3e914b27d1e6354b4e7,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge32.png,datasets/calibration/dataset/train/bridge/bridge32.png,train,bridge,bridge32.png,45116,83b65d9cedc1e85aded1dd804b166c07cd5249f9e4037453159810939320275c,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge35.png,datasets/calibration/dataset/train/bridge/bridge35.png,train,bridge,bridge35.png,36562,73527369c5cae16ff1b04516596719e311998c6d958a0d4a3a659736d5a0ceb2,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge36.png,datasets/calibration/dataset/train/bridge/bridge36.png,train,bridge,bridge36.png,46198,7ac19cb8035c5118b4620035c5910f0bb856b38f43992084f21bfa7bd18f10b1,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge38.png,datasets/calibration/dataset/train/bridge/bridge38.png,train,bridge,bridge38.png,43320,6d5f33d64e33e715d59324328109dd6b14f4e9e590d0b6debd79ae5b03826b23,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge39.png,datasets/calibration/dataset/train/bridge/bridge39.png,train,bridge,bridge39.png,52604,92278dcee6d28a838f11030358d32a3c0b9931dfb89d2f571472c52da1b591ed,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge40.png,datasets/calibration/dataset/train/bridge/bridge40.png,train,bridge,bridge40.png,32303,b0da6ce82e8171e9041e730435b70e877bb1c6a2584356032202f37c9145b604,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge41.png,datasets/calibration/dataset/train/bridge/bridge41.png,train,bridge,bridge41.png,35136,66400adcb420bec1f0d8af7ff35b4156c0244ef61c2c4df89e652b8d8ce65f9b,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge43.png,datasets/calibration/dataset/train/bridge/bridge43.png,train,bridge,bridge43.png,55141,19d12ee6d6dafc475f9b8d34652a8ea69f3c563e37823ffebb346d5d438f155b,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge44.png,datasets/calibration/dataset/train/bridge/bridge44.png,train,bridge,bridge44.png,47662,5de8435a487e850ac1995a6c2defd71d85a6a3b6510907f1b5eec9ad3c506358,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge46.png,datasets/calibration/dataset/train/bridge/bridge46.png,train,bridge,bridge46.png,47346,fdcffbd76c6156325826807190015fcc8a2543eb836906cefc6280e7fa791a62,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge47.png,datasets/calibration/dataset/train/bridge/bridge47.png,train,bridge,bridge47.png,43304,d0799b7aa3be309b658848ea7062bebc6a0679632656e2b80de2cf12d4f15868,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge5.JPG,datasets/calibration/dataset/train/bridge/bridge5.JPG,train,bridge,bridge5.JPG,14866,76d974e5c89c60b1f357039deb6945b11815cbef36a3145cce8c4342f6ce0a3d,230,233,RGB,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge50.png,datasets/calibration/dataset/train/bridge/bridge50.png,train,bridge,bridge50.png,50241,a3841b9692d332515186ec0dffe7ddeebdc4064327707aa4539f9d91cb2ddee0,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge51.png,datasets/calibration/dataset/train/bridge/bridge51.png,train,bridge,bridge51.png,37400,3f89c27728d4c7824aec44f23ef7816485eac1219dd8d85dd75adbcc50224fbf,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge52.png,datasets/calibration/dataset/train/bridge/bridge52.png,train,bridge,bridge52.png,39523,01b279aa257b45de58ce303622c2d27544e75f9d382400712c935b1f3f17c36b,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge53.png,datasets/calibration/dataset/train/bridge/bridge53.png,train,bridge,bridge53.png,40762,3bb50d4a38f11252370cfbc1afc36bc5cc6bdf18317d2d97bf39df750a628d71,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge54.png,datasets/calibration/dataset/train/bridge/bridge54.png,train,bridge,bridge54.png,47098,5bfa7655036c344fed33968cadae959f8fef5630a4ec7de7ff44df2d06b9b902,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge55.png,datasets/calibration/dataset/train/bridge/bridge55.png,train,bridge,bridge55.png,46766,537d7839dd3666981f67e447e5fcbd46885ec46d2185327e18f89ce49e9c4952,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge56.png,datasets/calibration/dataset/train/bridge/bridge56.png,train,bridge,bridge56.png,37543,ee20d7544b768f8a54d6f5f28ad69f68ff0c87b7306ef5f1227c9df506ccbf61,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge57.png,datasets/calibration/dataset/train/bridge/bridge57.png,train,bridge,bridge57.png,36582,ae4cdabee9dde497fe894cfd03e877553238c502b6d165b33ff89e67e285ab21,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge59.png,datasets/calibration/dataset/train/bridge/bridge59.png,train,bridge,bridge59.png,54065,9822db2b797bbfeed9cd5b90c9c9f123c504fbab96a950023fd9e4892417c510,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge6.JPG,datasets/calibration/dataset/train/bridge/bridge6.JPG,train,bridge,bridge6.JPG,14047,b6c2dbfb8ffa6e5a8a5c3ff62a7f23998e76652d0667237a50b5ed987c35a7ea,233,243,RGB,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge61.png,datasets/calibration/dataset/train/bridge/bridge61.png,train,bridge,bridge61.png,57723,a2d638bbd27dcfeddfc06588cbff6ab1d007db7395b7a2abe0205b09beca96a6,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge63.png,datasets/calibration/dataset/train/bridge/bridge63.png,train,bridge,bridge63.png,47942,0d456ef0b205b44d1ef5d1a1b9f5fb8a65242225db277b7832b4175189d3a744,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge64.png,datasets/calibration/dataset/train/bridge/bridge64.png,train,bridge,bridge64.png,47632,d7211e098f6c6f3292dc4e1c97603cde45e8c8272dc99a39468c125d2303ab28,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge65.png,datasets/calibration/dataset/train/bridge/bridge65.png,train,bridge,bridge65.png,54856,7723f05a212502d3ecc86dac34ea645be78c8b14d285ede7ab070f94356d5c6a,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge68.png,datasets/calibration/dataset/train/bridge/bridge68.png,train,bridge,bridge68.png,35346,5855736c270c832be112a983ba0e63b2fbd4952a341290a1253cf9d710ec3d1b,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge72.png,datasets/calibration/dataset/train/bridge/bridge72.png,train,bridge,bridge72.png,54116,29a16967c55ce39823ddf59edf23dbfdb6bd5b9e0245787263c95d198faac9b4,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge73.png,datasets/calibration/dataset/train/bridge/bridge73.png,train,bridge,bridge73.png,52900,2c4ca6004223f3d532df94b6a1c9a15a051733ae63936b749e25937b71ca7606,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge75.png,datasets/calibration/dataset/train/bridge/bridge75.png,train,bridge,bridge75.png,51997,0e33296e38f950cb6ad0e6936208c4007266672cf6d0ac15cdee7954490935f3,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge77.png,datasets/calibration/dataset/train/bridge/bridge77.png,train,bridge,bridge77.png,49284,b2c6c373d0ce9ff1d2558ab0f41f9eaed67c856a4e7eb0c97caf9e205fdd016a,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge78.png,datasets/calibration/dataset/train/bridge/bridge78.png,train,bridge,bridge78.png,35095,f1624659e6dfe044229abad169e0316af865fb35277a80e3e967b01833f45d8d,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge8.png,datasets/calibration/dataset/train/bridge/bridge8.png,train,bridge,bridge8.png,47399,1c769f99a1b171107e0224617645ba6d29696d9cb006aa5dfdf999f5ec745833,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge82.png,datasets/calibration/dataset/train/bridge/bridge82.png,train,bridge,bridge82.png,53228,cd64281af123d7a5ed70ddc0ebb301e0a013cb15e21eee370abd36501f0ef980,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge83.png,datasets/calibration/dataset/train/bridge/bridge83.png,train,bridge,bridge83.png,36614,9731fe2b2f4942f8fb1fd48ea2ec08f022255c3bba9336ace4147e64d6ea1e5c,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge84.png,datasets/calibration/dataset/train/bridge/bridge84.png,train,bridge,bridge84.png,53593,6dc844dc92361d04dee4594fd95a935378cd99db3c807a4f2927b7c7d21ff8b1,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge85.png,datasets/calibration/dataset/train/bridge/bridge85.png,train,bridge,bridge85.png,54366,dec64ded70fcd697eaf1d69f1f94b2a6ee6a1290b8540ace4712a0bc60585573,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge86.png,datasets/calibration/dataset/train/bridge/bridge86.png,train,bridge,bridge86.png,62014,00c2b74a16904aa2c81022d7ef07716036d2e0fa66a264b15a324c11fff198d5,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge87.png,datasets/calibration/dataset/train/bridge/bridge87.png,train,bridge,bridge87.png,38948,218862e289720cf1269971577d92f5c3bdff39df4cd7c58645a3d6fb4924caa4,256,256,L,valid,,True
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge89.png,datasets/calibration/dataset/train/bridge/bridge89.png,train,bridge,bridge89.png,52264,3d42857a8dd966ae1b2a473e1d4509f4681be4bcbe1fb78291ccb0f19247ac70,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge9.png,datasets/calibration/dataset/train/bridge/bridge9.png,train,bridge,bridge9.png,35128,4509e5f52faf75c8bfa53215a1795695cd12fdb52a9f89d0498bfe384cb7bb85,256,256,L,valid,,False
D:/Quantization embedded/datasets/calibration/dataset/train/bridge/bridge92.png,datasets/calibration/dataset/train/bridge/bridge92.png,train,bridge,bridge92.png,43335,f86f660776a0a38a55ead153d0e76916f8cdab944ce53b160a428886c4fd29de,256,256,L,valid,,False
